year,developer,price
2018,Kotoshiro,4.99
2018,Secret Level SRL,Free To Play
2017,Poolians.com,Free to Play
2017,彼岸领域,0.99
2018,Trickjump Games Ltd,3.99
2018,Poppermost Productions,9.99
2018,Poppermost Productions,18.99
2018,Poppermost Productions,29.99
2018,Stegalosaurus Game Development,10.99
2018,Copperpick Studio,3.99
2018,Ghulam Jewel,2.99
2018,Apillo,1.59
2018,Poppermost Productions,14.99
2018,Apillo,1.99
2018,Poppermost Productions,59.99
2018,Tero Lunkka,0.99
2017,FrozenPepper,2.99
2017,FrozenPepper,2.99
2018,Casey Labrack,4.99
1997,Stainless Games Ltd,9.99
1998,Valve,9.99
2016,dev4play,1.99
2018,ETGgames,0.99
2018,The Commander,8.99
2018,"lalalaZero,Urbanoff",0.99
2006,Strategy First,6.99
2006,Strategy First,6.99
2006,Outerlight Ltd.,9.99
2017,Ultraint,7.99
2017,TPM.CO SOFT WORKS,10.99
2017,Wonderbox Games,9.99
2017,Wonderbox Games,9.99
2017,Mad Unicorn Games,1.99
2017,Emanon Studios,0.99
2005,GlyphX Games,9.99
2006,Introversion Software,9.99
2006,Outerlight Ltd.,9.99
2006,Facepunch Studios,9.99
2006,SimBin,39.99
2006,Unknown Worlds Entertainment,Free
2006,"CINEMAX, s.r.o.",4.99
2003,Sick Puppies,4.99
2006,Deepred,4.99
2006,Funcom,19.99
2006,Bugbear Entertainment,9.99
2005,Bugbear Entertainment,7.49
2007,"CAPCOM Co., Ltd.",14.99
2006,"FireFly Studios,Firaxis Games",9.99
2002,Arkane Studios,4.99
2000,Funcom,9.99
2006,Firaxis Games,4.99
2003,PopTop,9.99
2006,"Firaxis Games,Feral Interactive (Mac)",9.99
1998,PopTop,4.99
2007,Elephant Games,4.99
1995,"MicroProse Software, Inc",4.99
2007,"Crystal Dynamics,Feral Interactive (Mac)",8.99
2006,"CAPCOM Co., Ltd.",19.99
2006,Telltale Games,19.99
1996,id Software,4.99
2006,Telltale Games,19.99
1995,id Software,4.99
1995,id Software,14.99
1994,id Software,4.99
1994,id Software,4.99
2001,Gray Matter Studios,4.99
1997,Ritual Entertainment,2.99
1993,id Software,2.99
2003,Terminal Reality,9.99
2007,Rogue Entertainment,2.99
2007,id Software,4.99
2007,Metamorf,4.99
2006,Relic Entertainment,12.99
2007,"2K Boston,2K Australia",19.99
2006,Relic Entertainment,12.99
2006,Relic Entertainment,12.99
2004,The Creative Assembly,9.99
2006,The Creative Assembly,4.99
2007,Big Fish Games,6.99
2004,Rockstar North,9.99
2003,Rockstar San Diego,9.99
2003,Remedy Entertainment,9.99
2006,Crystal Dynamics,6.99
2001,Remedy Entertainment,9.99
2008,EA Los Angeles,19.99
2007,Infinite Interactive,9.99
2007,Momentum Digital Media Technologies,9.99
2007,"Gamebryo,Virtual Playground",9.99
2007,SCS Software,9.99
2007,SCS Software,9.99
2008,Pivotal Games,5.99
2007,Bohemia Interactive,7.99
2006,Spellbound,9.99
2007,Haggard Games,4.99
2006,Eugen Systems,2.99
2006,"Frontier,Aspyr (Mac)",19.99
2005,Eugen Systems,2.99
2003,"Epic Games, Inc.",14.99
1998,"Epic Games, Inc.",9.99
2008,Sanzaru Games,4.99
2003,Ubisoft,9.99
2004,Crytek Studios,9.99
2000,"Epic Games, Inc.",9.99
2006,Ubisoft Montreal,9.99
2005,Ubisoft,9.99
2008,Last Day of Work,9.99
2008,SpinTop Games,4.99
2008,MumboJumbo,9.99
2008,MumboJumbo,9.99
2008,MumboJumbo,9.99
2008,MumboJumbo,9.99
2005,MumboJumbo,9.99
2007,MumboJumbo,9.99
2007,Ubisoft,9.99
2005,MumboJumbo,9.99
2007,"Ubisoft Bulgaria,Ubisoft Montpellier",9.99
2007,Ubisoft Romania,9.99
2006,1C: Maddox Games,9.99
2008,Ubisoft Romania,9.99
2005,Telltale Games,9.99
2005,"Merscom,Babylon",9.99
2006,Telltale Games,9.99
2008,BigAnt Studios,9.99
2008,Zemnott,9.99
2007,Gabriel Entertainment,9.99
2008,Zemnott,9.99
2007,Zemnott,9.99
2008,Frogwares,9.99
2008,Frogwares,9.99
2008,"Luc Bernard,SilverSphereStudios",4.99
2007,Lesta Studio,7.99
2008,Dialogue Design,4.99
2008,Bugbear Entertainment,19.99
1998,Oddworld Inhabitants,2.99
1997,Oddworld Inhabitants,2.99
2008,SimBin,7.99
2001,"MicroProse Software, Inc",4.99
1997,"MicroProse Software, Inc",4.99
1993,"MicroProse Software, Inc",4.99
2008,GSC Game World,9.99
2008,Crytek,19.99
2007,Crytek,19.99
1998,"MicroProse Software, Inc",4.99
2008,CD PROJEKT RED,9.99
2008,Introversion Software,9.99
2008,SimBin,2.99
2008,"Tilted Mill Entertainment, Inc.",2.49
2008,Firaxis Games,19.99
2003,"Red Storm Entertainment,Ubisoft Montreal",9.99
2008,Traveller's Tales,19.99
2008,Monte Cristo,9.99
2008,"Tilted Mill Entertainment, Inc.",9.99
2008,Gearbox Software,9.99
2008,Dark Castle Software,4.99
2006,Techland,4.99
2006,Nival,9.99
2005,Gearbox Software,9.99
2007,Nival,9.99
2008,Blue Byte,19.99
2007,Ubisoft,9.99
2002,Red Storm Entertainment,9.99
2008,"PopCap Games, Inc.",4.99
2008,2D BOY,9.99
2008,Egosoft,15.99
2008,Sandstorm Productions,Free
2008,Shorebound Studios,4.99
2008,Perpetual FX Creative,19.99
2008,Rockstar New England,14.99
2008,Ubisoft Montreal,9.99
2008,Meridian4,4.99
2009,RailSimulator.com,4.99
2009,RailSimulator.com,4.99
2009,RailSimulator.com,4.99
2009,Reppo,4.99
2009,RailSimulator.com,4.99
2009,Dovetail Games,4.99
2009,Dovetail Games,4.99
2009,Volition,9.99
2008,EA Redwood Shores,19.99
2008,Liquid Entertainment,9.99
2009,DICE,19.99
2008,Hidden Path Entertainment,9.99
2009,Monolith,14.99
2008,Oxeye Game Studio,7.99
2007,Inventive Dingo,9.99
2009,Meridian4,4.99
2005,Black Sea Studios Ltd,9.99
2009,Realmforge Studios,5.99
2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
2009,Deadline Games,4.99
2007,Frictional Games,9.99
2007,"Epic Games, Inc.",19.99
2009,Radon Labs,9.99
2008,Tale of Tales,4.99
2009,Criterion Games,19.99
2009,Twisted Pixel Games,9.99
2009,Twisted Pixel Games,1.25
2009,Twisted Pixel Games,1.25
2009,IonFX,4.99
2009,Llamasoft LTD,9.99
2009,"InnoGlow,Stormregion,THQ Nordic",14.99
2009,SpinTop Games,4.99
2006,ArenaNet®,19.99
2005,ArenaNet®,19.99
2006,ArenaNet®,19.99
2008,ArenaNet®,29.99
2009,Infinite Interactive,14.99
2009,MumboJumbo,9.99
2009,Reality Pump Studios,9.99
2009,Spellbound,9.99
2009,Gaijin Entertainment,9.99
2009,ACE Team,9.99
2009,Twisted Pixel Games,1.25
2008,1C Company,6.99
2009,Last Day of Work,9.99
2009,Sky Fallen,2.99
2005,Irrational Games,4.99
2002,Irrational Games,4.99
2009,SaintXi,14.99
2009,Darklight Games,Free
2009,Radical Entertainment,19.99
2004,Ascaron Entertainment ltd.,4.99
2006,Headfirst Productions,4.99
2007,Bethesda Game Studios,14.99
2002,Bethesda Game Studios,14.99
2009,Bethesda Game Studios®,19.99
2007,Deck 13,4.99
1999,NovaLogic,9.99
1998,NovaLogic,9.99
2008,Mascot Entertainment,4.99
2009,Techland,9.99
2007,HeR Interactive,6.99
2006,HeR Interactive,6.99
2008,HeR Interactive,6.99
2007,HeR Interactive,6.99
2008,Digital Eel,Free to Play
2009,Telltale Games,19.99
2009,Capcom,19.99
2007,Frontier,9.99
1992,LucasArts,5.99
2003,Planet Moon Studios,5.99
2005,Pandemic Studios,9.99
1989,LucasArts,5.99
2008,Traveller's Tales,19.99
2009,LucasArts,9.99
2008,GFI Russia,12.99
2009,Targem Games,9.99
2009,HeR Interactive,6.99
2006,Wanako Games,9.99
2006,Sierra,19.99
2007,Saber Interactive,19.99
2006,Sierra,19.99
