user_id,total_spent,total_items_played,percent_recommended
--000--,19913801.7,41,0.0
--ace--,15359533.9,25,4.0
--ionex--,8288080.100000001,22,9.090909090909092
-2SV-vuLB-Kg,62877422.0,43,9.30232558139535
-404PageNotFound-,199784894.4,110,0.0
-AnimeIsMyThing-,213459563.9,114,0.0
-Azsael-,417469498.5,141,0.0
-Beave-,3325032.3,39,0.0
-Encore-,60090425.0,22,0.0
-GM-Dragon,133582672.9,81,1.2345679012345678
-I_AM_EPIC-,23073157.1,14,0.0
-JT,28584144.099999998,15,0.0
-Kenny,230495806.6,85,1.1764705882352942
-KillZone-,90657785.9,80,0.0
-Konflict-,0.0,0,0.0
-Mad-,334698298.6,234,0.8547008547008548
-Naughty-,61787127.3,48,0.0
-PRoSlayeR-,344115833.4,279,0.35842293906810035
-Rainbowdash-,0.0,0,0.0
-SEVEN-,368998345.5,239,0.8368200836820083
-SatansLittleHelper-,41682855.3,24,4.166666666666666
-TheOnlyMAGNAT-,0.0,0,0.0
-Thyme-,79837893.8,35,2.857142857142857
-Ultrix,45402018.199999996,62,1.6129032258064515
-Uplink-,185872011.2,106,0.0
-Zovix-,22478585.9,27,0.0
-_PussyDestroyer_-,46933196.6,47,2.127659574468085
-_________________________-,0.0,0,0.0
-_skIzZ_-,31829930.5,31,0.0
-fastrvrs-,9012647.1,13,0.0
-iBubble,5004924.6,6,0.0
-kainey9777,171624527.6,52,1.9230769230769231
-shdvb,0.0,0,0.0
-xKyox-,34845211.8,44,0.0
0-3-0,135288529.8,93,1.0752688172043012
00000000000000000001227,149494752.9,79,3.79746835443038
00000000100000000010001,0.0,0,0.0
00000003010,28701279.8,42,0.0
0000FF,13080641.5,23,0.0
000Infinity000,24298284.8,21,0.0
001000111000111000010,63687530.5,44,2.272727272727273
001002130882,10942.7,2,0.0
001010001,49758240.900000006,42,0.0
00284702,0.0,0,0.0
0041287,10399618.899999999,24,0.0
00454211432342,15672048.1,20,0.0
005577,576350922.4,209,0.0
00690069006900,71030748.7,61,1.639344262295082
0071945,675610901.0,264,0.0
007james_bond,136903894.4,146,0.0
007thesilence,57850058.4,41,0.0
00810cccyyykkk,10942.7,2,0.0
008port,15863840.200000001,34,0.0
0099654321891111,35045433.4,20,5.0
00True,41721346.2,24,4.166666666666666
00jitz,0.0,0,0.0
00nana,1065938.5,4,0.0
01001000-01101001,184815799.1,65,3.076923076923077
0102705195,0.0,1,0.0
01029y7gfeyw,0.0,0,0.0
010607,9172004.2,13,0.0
011000100001000111,142722797.4,63,0.0
011011010111001000101110,12697159.9,24,0.0
011111135489484797,50954.5,2,50.0
01120477677,30647639.2,24,0.0
0112937783,78679206.9,26,0.0
01189958889189157253,315459452.6,126,1.5873015873015872
0118999881999119,98021549.2,87,0.0
01221733,90558771.60000001,71,1.4084507042253522
0132489,0.0,0,0.0
0136849195,17814888.3,28,3.571428571428571
01398279857934,10942.7,10,0.0
015vmsst64cvbw3rfreeitems,0.0,0,0.0
018302,43596685.0,31,0.0
019299,0.0,0,0.0
01shan,50902.7,3,0.0
02108,0.0,0,0.0
0212030,990397.3999999999,6,0.0
022899,163651746.5,52,3.8461538461538463
0248359,35052227.5,8,0.0
025652,0.0,2,0.0
0271975108,101019684.2,40,0.0
0305089,123565729.5,92,0.0
03092002,62795369.8,20,0.0
03375616256,39960.0,1,0.0
0402593613,1263735.0,5,0.0
04061993,112014814.6,138,0.7246376811594203
04092013,79637560.9,109,0.0
041112016,166336260.0,71,0.0
0412734634,3126652.9,14,0.0
0412827540,24354762.3,22,0.0
042153100,298613850.7,99,0.0
0421874858,34264881.7,23,0.0
04280122,230371606.7,105,0.9523809523809524
0432-026-no,10484549.9,12,0.0
0445233,0.0,0,0.0
04536829290339393838,9473051.6,23,0.0
0468313256,3552589.3000000003,32,0.0
0488456,23998218.0,10,0.0
05041129,28394840.8,50,16.0
05461025,20256882.7,16,6.25
05511301,123792267.7,132,0.0
05zhehan,1413564.6,12,0.0
066600,88543916.2,62,0.0
0700464574757,73357285.9,44,2.272727272727273
07061998,0.0,0,0.0
07213,0.0,0,0.0
077541400,0.0,0,0.0
07824,0.0,0,0.0
07846813956825,124352931.89999999,51,1.9607843137254901
081042,0.0,0,0.0
0814551,12737355.0,38,0.0
08254669696969696969,0.0,0,0.0
0827777,0.0,2,0.0
0854029092,1266966.2,4,0.0
0862770364,40980331.699999996,21,0.0
0896398616,122534582.0,156,0.0
0898786879898,8914803.5,4,0.0
08alross,631310821.5,172,0.0
0903512455,15095983.1,25,4.0
09106,211970090.5,154,1.2987012987012987
091263,239113929.5,148,2.027027027027027
092982943,6162317.2,6,0.0
0935659130,52334661.6,31,0.0
094553552,17155988.4,46,0.0
095732,39690725.1,27,3.7037037037037033
095829347395,0.0,0,0.0
095843067,337062997.6,120,0.8333333333333334
098765432108642,25761849.9,11,0.0
09876543231,25297694.0,20,5.0
098766catdogbnmnnn,21097082.2,28,7.142857142857142
09879655452567,0.0,0,0.0
09895749373554,11746632.399999999,31,0.0
099655675,0.0,0,0.0
0996633,102070460.7,52,0.0
0FI3MWAJS2849023N,45051281.8,25,0.0
0darkhood,0.0,0,0.0
0fficiaIfIaw,1063873.9,14,0.0
0nlyb0nes,46771075.6,18,0.0
0rangeZ3r0,19410948.2,26,0.0
0x0B00B135,51776054.2,32,0.0
0x426F,127094072.4,101,0.0
1-800-Invisible,461489165.8,197,0.0
10000000thVisitor,98651413.8,66,0.0
1000000sdsd,5678567.0,15,0.0
100011101011,65144300.8,13,0.0
1000jaus,106423801.39999999,42,0.0
100101011111000011111111,0.0,0,0.0
1001101001110101,400026723.2,207,0.4830917874396135
100355,13938054.499999998,17,0.0
10051997,133206888.0,71,2.8169014084507045
10101010101010109,631764212.7,244,0.4098360655737705
101010101111,20820806.200000003,24,0.0
101010102,360611.69999999995,6,0.0
1010102,28475592.5,33,0.0
101013483181348,10942.7,2,0.0
1010231464,61897.2,4,0.0
1011001,132993658.10000001,84,7.142857142857142
1011010101101101010101,13932560.4,24,0.0
1011012001,5366661.1,6,0.0
101316,23659455.700000003,16,0.0
1016523030,0.0,1,0.0
101676057,18595642.7,19,0.0
10197226,9883001.0,12,0.0
101thegreenguy,194306926.0,73,0.0
102547508,1799559.3,11,0.0
102598615,14602211.6,40,2.5
1029620,0.0,0,0.0
1032165460,11446681.600000001,6,0.0
1052218979baidu,14734143.5,13,0.0
106816544,0.0,0,0.0
10817,48899425.6,29,0.0
109284293753647,200438868.0,128,0.0
10936543792,160652365.8,101,1.9801980198019802
10948278193,3110281.1,7,0.0
109leonidas,112392040.60000001,80,0.0
10Degree,277710130.0,130,2.307692307692308
10gp,7180333.1,13,0.0
10outof10matee,133976395.0,86,0.0
10oyard,10746150.999999998,10,0.0
11010011011,197704521.7,104,0.0
1101167413,28919379.7,24,0.0
110203,0.0,0,0.0
110211021,78625502.2,60,0.0
110321565469,87438162.4,29,0.0
1103703132946,67540713.3,42,0.0
11058426384,0.0,0,0.0
11111121111122221,0.0,0,0.0
111190869,142665744.79999998,49,2.0408163265306123
111222333222111,22134870.6,22,0.0
111222333444555666888,206518565.0,100,4.0
11123xxx3122,2868428.2,8,0.0
11124,30684187.099999998,32,0.0
11141995,23344816.4,18,0.0
111s,239822157.8,178,0.0
111zerosen,32616475.0,52,0.0
1122305938,313724785.6,121,1.6528925619834711
