item_id,recommend,genres,sentiment_analysis,genres_Action,genres_Adventure,genres_Animation &amp; Modeling,genres_Audio Production,genres_Casual,genres_Design &amp; Illustration,genres_Early Access,genres_Education,genres_Free to Play,genres_Indie,genres_Massively Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Software Training,genres_Sports,genres_Strategy,genres_Utilities,genres_Video Production,genres_Web Publishing
1250,True,['Action'],2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200,True,"['Action', 'Indie']",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
227300,True,"['Indie', 'Simulation']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
239030,True,"['Adventure', 'Indie']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
248820,True,"['Action', 'Indie', 'RPG']",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
370360,True,"['Indie', 'Simulation']",2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
237930,True,"['Action', 'Indie', 'RPG']",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
263360,True,"['Action', 'Indie', 'RPG']",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
107200,True,"['Action', 'Indie', 'RPG', 'Strategy']",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
224500,True,"['Indie', 'Simulation', 'Strategy']",2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
250320,True,['Adventure'],2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20920,True,['RPG'],2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
204100,True,['Action'],2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224600,True,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
207610,True,['Adventure'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108710,True,"['Action', 'Adventure']",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211420,True,"['Action', 'RPG']",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211820,True,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
730,True,['Action'],2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204300,True,"['Action', 'Free to Play', 'Indie', 'Strategy']",2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
249130,True,"['Action', 'Adventure']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,True,['Action'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65800,True,"['Action', 'Indie', 'RPG', 'Strategy']",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
220,True,['Action'],2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,True,"['Action', 'Free to Play']",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
